PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2016-04-01,0.44299999999999995,"<0,010",0.034,"<0,050","<0,004",0.006,,"<0,010",0.03,"<0,009","<0,0005",150.0,404.0,"<0,050",,2.86,7.15,0.386,"<0,090",0.141,,"<0,010","<0,010",45.0,65.0,,,"<0,0001","<0,005",,,"<0,01"
P2/P6,2016-04-01,0.22699999999999998,"<0,010",0.016,"<0,050","<0,004","<0,006",,"<0,010",0.019,"<0,009","<0,0005",24.0,61.0,"<0,050",,1.07,7.11,0.656,"<0,090",0.11,,"<0,010","<0,010",40.0,40.0,,,"<0,0001","<0,005",,,"<0,01"
P1,2016-07-01,0.377,0.01,0.031,0.05,0.004,0.006,,0.01,0.05,0.009,0.0005,142.0,385.0,0.05,,3.55,3.7,"<0,05",0.09,0.196,,"<0,010","<0,010",30.0,45.0,,,"<0,0001","<0,005",,,"<0,003"
P2/P6,2016-07-01,0.8370000000000001,"<0,010",0.028999999999999998,"<0,050","<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,005",40.0,109.0,"<0,050",,1.89,3.78,0.678,"<0,090",0.175,,"<0,010","<0,010",30.0,35.0,,,"<0,0001","<0,005",,,"<0,003"
P1,2016-10-01,1.1,"<0,010",0.054000000000000006,0.297,"<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,0005",124.0,337.0,"<0,050",,3.84,7.44,"<0,05","<0,090",0.203,,"<0,010","<0,010",53.9,55.3,,,"<1,0","<0,005",,,"<0,1"
P2/P6,2016-10-01,0.519,"<0,010",0.036000000000000004,"<0,050","<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,0005",34.5,93.7,"<0,050",,1.68,5.05,0.661,"<0,090",0.192,,"<0,010","<0,010",24.6,38.1,,,"<1,0","<0,005",,,"<0,1"
P1,2017-01-01,0.46799999999999997,0.01,0.052000000000000005,0.05,0.004,0.006,,0.01,0.05,0.009,0.0005,136.0,,0.05,,3.84,4.1,0.673,0.09,0.209,,0.01,0.01,21.2,36.3,,,1,0.005,,,0.04
P2/P6,2017-01-01,0.271,0.01,0.042,0.05,0.004,0.006,,0.01,0.045,0.009,0.0005,42.8,,0.05,,1.23,2.25,0.824,0.09,0.09,,0.01,0.01,11.9,14.8,,,1,0.005,,,0.04
P1,2017-04-01,1.475,"< 0,010",0.142,0.103,"< 0,004","< 0,006",,"< 0,010",0.046,0.013,"< 0,0005",140.0,,"< 0,050",,2.474,6.33,1.488,"< 0,090",0.18100000000000002,,"< 0,010","< 0,010",59.2,86.8,,,"< 1,0","< 0,005",,,0.08
P2/P6,2017-04-01,0.7879999999999999,"< 0,010",0.078,"< 0,050","< 0,004","< 0,006",,"< 0,010",0.021,"< 0,009","< 0,0005",17.5,,"< 0,050",,0.45899999999999996,6.252999999999999,1.476,"< 0,090",0.24100000000000002,,"< 0,010","< 0,010",51.6,57.3,,,"< 1,0","< 0,005",,,"< 0,04"
