DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P1 - Média mês,P2/P6 - Média mês,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral),Ponto de coleta Saída (P2 ou P6)
2015-08-05,32.1,18.4,40.66,17.56,x,nan,nan,nan
2015-08-11,48.0,17.1,nan,nan,x,nan,nan,nan
2015-08-18,28.9,15.3,nan,nan,x,nan,nan,nan
2015-08-25,57.8,18.2,nan,nan,x,nan,nan,nan
2015-09-03,36.5,18.8,39.13333333333333,39.98,x,Resultados apresentados até aqui na auditoria externa.,nan,nan
2015-09-09,39.1,30.7,nan,nan,x,A partir daqui. reais resultados,nan,nan
2015-09-15,41.8,35.9,nan,nan,x,nan,nan,nan
2015-09-22,31.7,48.3,nan,nan,x,nan,nan,nan
2015-09-29,28.9,66.2,nan,nan,x,A coleta nestes dias foi realizada no P6,nan,nan
2015-10-08,7.7,30.4,25.4,34.84,x,nan,1.3,nan
2015-10-14,5.6,20.4,nan,nan,x,nan,nan,nan
2015-10-20,41.8,43.1,nan,nan,x,nan,nan,nan
2015-10-27,46.5,41.1,nan,nan,x,nan,nan,nan
2015-11-04,19.8,39.2,39.375,42.5,x,nan,nan,nan
2015-11-10,30.8,22.2,nan,nan,x,nan,nan,nan
2015-11-17,54.2,54.1,nan,nan,x,nan,nan,nan
2015-11-24,52.7,54.5,nan,nan,x,nan,nan,nan
2015-12-02,41.8,32.9,43.76666666666667,23.96666666666667,x,nan,nan,nan
2015-12-08,45.7,21.0,nan,nan,x,nan,nan,nan
2015-12-15,43.8,18.0,nan,nan,x,nan,nan,nan
2016-01-06,22.5,19.7,25.6,16.225,nan,nan,1.18,nan
2016-01-12,28.7,12.3,nan,nan,nan,nan,nan,nan
2016-01-19,52.9,14.9,nan,nan,nan,nan,nan,nan
2016-01-26,42.1,18.0,nan,nan,nan,nan,nan,nan
2016-02-06,14.4,14.9,29.35,10.175,nan,nan,nan,nan
2016-02-11,25.3,1.3,nan,nan,nan,nan,nan,nan
2016-02-16,33.3,12.9,nan,nan,nan,nan,nan,nan
2016-02-23,44.4,11.6,nan,nan,nan,nan,nan,nan
2016-03-02,54.4,46.0,55.75999999999999,35.28,nan,nan,nan,nan
2016-03-08,73.3,33.0,nan,nan,nan,nan,nan,nan
2016-03-15,54.1,28.6,nan,nan,nan,nan,nan,nan
2016-03-22,47.1,37.7,nan,nan,nan,nan,nan,nan
2016-03-29,49.9,31.1,nan,nan,nan,nan,nan,nan
2016-04-06,38.3,45.8,36.625,51.6,nan,nan,5.4,nan
2016-04-12,43.9,40.6,nan,nan,nan,nan,nan,nan
2016-04-19,50.8,83.5,nan,nan,nan,nan,nan,nan
2016-04-26,13.5,36.5,nan,nan,nan,nan,nan,nan
2016-05-04,55.5,82.8,54.15,77.725,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-05-10,53.0,78.8,nan,nan,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-05-17,46.0,68.2,nan,nan,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-05-24,62.1,81.1,nan,nan,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-06-01,45.8,95.0,61.16666666666666,80.33999999999997,nan,Início partida CBR,nan,nan
2016-06-07,63.3,88.5,nan,nan,nan,nan,nan,nan
2016-06-14,70.2,86.2,nan,nan,nan,Dia 11/07 quebrou correia do CBR,nan,nan
2016-07-21,38.1,58.4,nan,nan,nan,nan,nan,nan
2016-06-28,74.4,73.6,nan,nan,nan,nan,nan,nan
2016-07-06,21.8,49.7,16.6,22.0,nan,nan,48.3,nan
2016-07-12,16.1,21.0,nan,nan,nan,nan,nan,nan
2016-07-19,14.0,10.6,nan,nan,nan,nan,nan,nan
2016-07-26,14.5,6.7,nan,nan,nan,nan,nan,nan
2016-08-03,44.2,10.3,37.53333333333333,32.13333333333333,nan,nan,nan,nan
2016-08-09,20.6,23.7,nan,nan,nan,nan,nan,nan
2016-08-16,42.1,46.7,nan,nan,nan,nan,nan,nan
2016-08-23,25.8,65.6,nan,nan,nan,nan,nan,nan
2016-08-30,37.3,32.7,nan,nan,nan,nan,nan,nan
2016-09-08,55.2,13.8,50.40000000000001,36.775,nan,nan,nan,nan
2016-09-13,45.6,51.0,nan,nan,nan,nan,nan,nan
2016-09-22,41.7,21.3,nan,nan,nan,nan,nan,nan
2016-09-27,59.8,61.0,nan,nan,nan,nan,nan,nan
2016-10-05,39.9,80.2,26.85,40.34,nan,nan,7.9,nan
2016-10-11,27.4,42.8,nan,nan,nan,nan,nan,nan
2016-10-18,10.2,15.9,nan,nan,nan,nan,nan,nan
2016-10-25,29.9,40.5,nan,nan,nan,nan,nan,nan
2016-11-03,31.0,22.3,35.23999999999999,33.22000000000001,nan,nan,nan,nan
2016-11-08,34.1,32.4,nan,nan,nan,nan,nan,nan
2016-11-17,31.7,29.2,nan,nan,nan,nan,nan,nan
2016-11-22,39.4,44.7,nan,nan,nan,nan,nan,nan
2016-11-29,40.0,37.5,nan,nan,nan,nan,nan,nan
2016-12-07,31.9,23.6,35.4,20.633333333333336,nan,nan,nan,nan
2016-12-13,48.5,21.5,nan,nan,nan,nan,nan,nan
2016-12-20,25.8,16.8,nan,nan,nan,nan,nan,nan
2016-01-06,22.5,19.7,25.6,16.225,nan,nan,1.18,nan
2016-01-12,28.7,12.3,nan,nan,nan,nan,nan,nan
2016-01-19,52.9,14.9,nan,nan,nan,nan,nan,nan
2016-01-26,42.1,18.0,nan,nan,nan,nan,nan,nan
2016-02-06,14.4,14.9,29.35,10.175,nan,nan,nan,nan
2016-02-11,25.3,1.3,nan,nan,nan,nan,nan,nan
2016-02-16,33.3,12.9,nan,nan,nan,nan,nan,nan
2016-02-23,44.4,11.6,nan,nan,nan,nan,nan,nan
2016-03-02,54.4,46.0,55.75999999999999,35.28,nan,nan,nan,nan
2016-03-08,73.3,33.0,nan,nan,nan,nan,nan,nan
2016-03-15,54.1,28.6,nan,nan,nan,nan,nan,nan
2016-03-22,47.1,37.7,nan,nan,nan,nan,nan,nan
2016-03-29,49.9,31.1,nan,nan,nan,nan,nan,nan
2016-04-06,38.3,45.8,36.625,51.6,nan,nan,5.4,nan
2016-04-12,43.9,40.6,nan,nan,nan,nan,nan,nan
2016-04-19,50.8,83.5,nan,nan,nan,nan,nan,nan
2016-04-26,13.5,36.5,nan,nan,nan,nan,nan,nan
