PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2018-04-01,1.54,0.01,0.27,2.65,0.004,0.67,nan,0.01,4.22,0.009000000000000001,0.324,150.0,nan,0.05,nan,6.19,5.872999999999999,0.1,0.09,0.27,nan,0.01,0.01,nan,nan,nan,0.01,0.1,0.05,nan,nan,0.04
P2/P6,2018-04-01,0.21,0.01,0.116,0.178,0.004,0.006,nan,0.01,0.01,0.009000000000000001,0.02,34.0,nan,0.05,nan,1.236,6.631,0.761,0.09,0.187,nan,0.1,0.1,nan,nan,nan,0.1,0.1,0.05,nan,nan,0.04
P1,2018-07-01,0.465,0.01,0.197,0.212,0.004,0.006,nan,0.01,0.025,0.009000000000000001,0.02,76.0,nan,0.05,nan,4.7860000000000005,5.4110000000000005,0.629,0.09,0.265,nan,0.01,0.01,nan,nan,nan,0.01,0.1,0.02,nan,nan,2.3
P2/P6,2018-07-01,0.305,0.01,0.202,0.07,0.004,0.006,nan,0.01,0.021,0.009000000000000001,0.02,13.0,nan,0.05,nan,1.286,4.465,0.626,0.09,0.159,nan,0.1,0.1,nan,nan,nan,0.1,0.1,0.02,nan,nan,0.04
P1,2018-10-01,0.565,0.01,0.065,0.05,0.004,0.006,nan,0.01,0.01,0.02,0.025,114.0,nan,0.05,nan,5.515,4.505,0.517,0.09,0.23,nan,0.01,0.01,nan,nan,nan,0.01,0.1,0.02,nan,nan,0.19
P2/P6,2018-10-01,0.362,0.01,0.033,0.05,0.004,0.006,nan,0.01,0.01,0.009000000000000001,0.02,15.0,nan,0.05,nan,1.297,5.1339999999999995,0.142,0.09,0.075,nan,0.1,0.1,nan,nan,nan,0.1,0.1,0.02,nan,nan,0.04
P1,2018-01-01,0.411,0.01,0.045,0.05,0.004,0.006,nan,0.01,0.026,0.009000000000000001,0.02,47.5,nan,0.05,nan,4.09,2.06,0.1,0.09,0.2,nan,0.01,0.01,17.992,29.813,nan,0.01,0.1,0.05,nan,nan,0.04
P2/P6,2018-01-01,0.13,0.01,0.03,0.05,0.004,0.006,nan,0.01,0.009,0.009000000000000001,0.02,11.0,nan,0.05,nan,0.75,3.07,0.508,0.09,0.04,nan,0.1,0.1,31.745,34.999,nan,0.1,0.1,0.05,nan,nan,0.04
P1,2018-04-01,1.54,0.01,0.27,2.65,0.004,0.67,nan,0.01,4.22,0.009000000000000001,0.324,150.0,nan,0.05,nan,6.19,5.872999999999999,0.1,0.09,0.27,nan,0.01,0.01,nan,nan,nan,0.01,0.1,0.05,nan,nan,0.04
P2/P6,2018-04-01,0.21,0.01,0.116,0.178,0.004,0.006,nan,0.01,0.01,0.009000000000000001,0.02,34.0,nan,0.05,nan,1.236,6.631,0.761,0.09,0.187,nan,0.1,0.1,nan,nan,nan,0.1,0.1,0.05,nan,nan,0.04
