ENTIDADE,DATA,pH
Pd,2017-09-06,7.9
P2,2017-09-06,7.9
P3,2017-09-06,7.3
P4,2017-09-06,7.4
P5,2017-09-06,7.5
P7,2017-09-06,
P1,2017-10-04,7.2
Pb,2017-10-04,7.4
Pc,2017-10-04,7.9
Pd,2017-10-04,7.9
P2,2017-10-04,7.9
P3,2017-10-04,7.2
P4,2017-10-04,7.7
P5,2017-10-04,9.7
P7,2017-10-04,8.1
P1,2017-11-01,6.5
Pb,2017-11-01,7.1
Pc,2017-11-01,7.4
Pd,2017-11-01,7.5
P2,2017-11-01,7.5
P3,2017-11-01,6.9
P4,2017-11-01,6.7
P5,2017-11-01,7.7
P7,2017-11-01,
P1,2017-12-06,6.6
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,6.6
P3,2017-12-06,6.9
P4,2017-12-06,7.0
P5,2017-12-06,8.1
P7,2017-12-06,
P1,2017-01-04,6.7
Pb,2017-01-04,7.1
Pc,2017-01-04,6.9
Pd,2017-01-04,7.2
P2,2017-01-04,7.2
P3,2017-01-04,6.9
P4,2017-01-04,7.2
P5,2017-01-04,9.8
P7,2017-01-04,7.7
P1,2017-02-01,6.6
Pb,2017-02-01,7.1
Pc,2017-02-01,6.0
Pd,2017-02-01,7.4
P2,2017-02-01,7.4
P3,2017-02-01,7.1
P4,2017-02-01,7.7
P5,2017-02-01,7.7
P7,2017-02-01,
P1,2017-03-01,7.4
Pb,2017-03-01,7.2
Pc,2017-03-01,7.3
Pd,2017-03-01,7.5
P2,2017-03-01,7.5
P3,2017-03-01,7.4
P4,2017-03-01,7.4
P5,2017-03-01,9.6
P7,2017-03-01,
P1,2017-04-05,6.6
Pb,2017-04-05,7.3
Pc,2017-04-05,7.6
Pd,2017-04-05,7.3
P2,2017-04-05,7.2
P3,2017-04-05,7.4
P4,2017-04-05,7.8
P5,2017-04-05,7.6
P7,2017-04-05,4.9
P1,2017-05-03,6.6
Pb,2017-05-03,
Pc,2017-05-03,
Pd,2017-05-03,
P2,2017-05-03,6.8
P3,2017-05-03,7.0
P4,2017-05-03,7.3
P5,2017-05-03,7.8
