ENTIDADE,DATA,DQO
P4,2017-03-01,440.3
P5,2017-03-01,42.0
P7,2017-03-01,
P1,2017-04-05,1170.0
Pb,2017-04-05,102.0
Pc,2017-04-05,99.0
Pd,2017-04-05,43.5
P2,2017-04-05,42.0
P3,2017-04-05,25.0
P4,2017-04-05,380.0
P5,2017-04-05,18.5
P7,2017-04-05,113.0
P1,2017-05-03,253.0
Pb,2017-05-03,
Pc,2017-05-03,
Pd,2017-05-03,
P2,2017-05-03,85.0
P3,2017-05-03,27.8
P4,2017-05-03,1720.4
P5,2017-05-03,17.7
P7,2017-05-03,
P1,2017-06-07,250.0
Pb,2017-06-07,65.0
Pc,2017-06-07,28.0
Pd,2017-06-07,26.0
P2,2017-06-07,25.0
P3,2017-06-07,6.5
P4,2017-06-07,310.0
P5,2017-06-07,25.5
P7,2017-06-07,
P1,2017-07-07,406.3
Pb,2017-07-07,130.0
Pc,2017-07-07,296.4
Pd,2017-07-07,72.7
P2,2017-07-07,67.9
P3,2017-07-07,42.1
P4,2017-07-07,544.9
P5,2017-07-07,23.4
P7,2017-07-07,430.2
P1,2017-08-02,435.2
Pb,2017-08-02,
Pc,2017-08-02,
Pd,2017-08-02,
P2,2017-08-02,114.2
P3,2017-08-02,31.4
P4,2017-08-02,669.2
P5,2017-08-02,89.9
P7,2017-08-02,
P1,2017-09-06,323.8
Pb,2017-09-06,253.0
Pc,2017-09-06,237.8
Pd,2017-09-06,93.1
P2,2017-09-06,255.4
P3,2017-09-06,216.1
P4,2017-09-06,506.0
P5,2017-09-06,75.4
P7,2017-09-06,
P1,2017-10-04,694.4
Pb,2017-10-04,38.7
Pc,2017-10-04,79.4
Pd,2017-10-04,44.6
P2,2017-10-04,45.6
P3,2017-10-04,35.2
P4,2017-10-04,545.6
P5,2017-10-04,27.3
P7,2017-10-04,23.3
P1,2017-11-01,259.0
Pb,2017-11-01,79.7
Pc,2017-11-01,37.8
Pd,2017-11-01,34.9
P2,2017-11-01,99.6
P3,2017-11-01,74.7
P4,2017-11-01,184.3
P5,2017-11-01,39.8
P7,2017-11-01,
P1,2017-12-06,328.0
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,59.6
P3,2017-12-06,22.2
P4,2017-12-06,234.3
P5,2017-12-06,40.5
P7,2017-12-06,
P1,2018-01-24,51.0
Pb,2018-01-24,24.2
Pc,2018-01-24,28.5
Pd,2018-01-24,26.4
P2,2018-01-24,16.8
P3,2018-01-24,67.0
P4,2018-01-24,50.1
P5,2018-01-24,52.3
P7,2018-01-24,
P1,2018-02-09,90.5
Pb,2018-02-09,31.9
Pc,2018-02-09,30.7
Pd,2018-02-09,25.5
P2,2018-02-09,40.0
P3,2018-02-09,18.6
P4,2018-02-09,105.0
P5,2018-02-09,18.6
P7,2018-02-09,96.2
P1,2018-03-07,62.4
Pb,2018-03-07,
Pc,2018-03-07,
Pd,2018-03-07,
P2,2018-03-07,67.4
P3,2018-03-07,20.4
P4,2018-03-07,341.1
P5,2018-03-07,22.5
P7,2018-03-07,
P1,2018-04-04,288.0
Pb,2018-04-04,
Pc,2018-04-04,
Pd,2018-04-04,
P2,2018-04-04,60.8
P3,2018-04-04,15.6
P4,2018-04-04,328.0
