ENTIDADE,DATA,DBO
P3,2016-12-07,8.0
P4,2016-12-07,100.0
P5,2016-12-07,2.8
P7,2016-12-07,
P1,2016-01-06,203.0
Pb,2016-01-06,15.0
Pc,2016-01-06,13.5
Pd,2016-01-06,8.5
P2,2016-01-06,10.5
P3,2016-01-06,5.6
P4,2016-01-06,88.0
P5,2016-01-06,2.1
P7,2016-01-06,2.0
P1,2016-02-05,82.0
Pb,2016-02-05,11.8
Pc,2016-02-05,9.9
Pd,2016-02-05,9.1
P2,2016-02-05,16.0
P3,2016-02-05,5.8
P4,2016-02-05,20.0
P5,2016-02-05,4.3
P7,2016-02-05,
P1,2016-03-02,270.0
Pb,2016-03-02,33.0
Pc,2016-03-02,12.0
Pd,2016-03-02,11.0
P2,2016-03-02,20.0
P3,2016-03-02,9.5
P4,2016-03-02,120.0
P5,2016-03-02,4.9
P7,2016-03-02,
P1,2016-04-06,192.0
Pb,2016-04-06,17.6
Pc,2016-04-06,7.1
Pd,2016-04-06,6.3
P2,2016-04-06,7.0
P3,2016-04-06,9.8
P4,2016-04-06,170.0
P5,2016-04-06,6.3
P7,2016-04-06,6.0
P1,2016-05-04,256.0
Pb,2016-05-04,
Pc,2016-05-04,
Pd,2016-05-04,
P2,2016-05-04,44.0
P3,2016-05-04,10.6
P4,2016-05-04,136.0
P5,2016-05-04,7.4
P7,2016-05-04,
P1,2016-06-01,200.0
Pb,2016-06-01,51.0
Pc,2016-06-01,17.6
Pd,2016-06-01,15.6
P2,2016-06-01,35.5
P3,2016-06-01,16.4
P4,2016-06-01,196.0
P5,2016-06-01,7.7
P7,2016-06-01,
P1,2016-07-06,289.0
Pb,2016-07-06,49.0
Pc,2016-07-06,40.0
Pd,2016-07-06,23.3
P2,2016-07-06,24.5
P3,2016-07-06,15.6
P4,2016-07-06,106.0
P5,2016-07-06,20.0
P7,2016-07-06,2.0
P1,2016-08-03,148.0
Pb,2016-08-03,42.0
Pc,2016-08-03,52.0
Pd,2016-08-03,41.0
P2,2016-08-03,52.0
P3,2016-08-03,6.8
P4,2016-08-03,184.0
P5,2016-08-03,19.6
P7,2016-08-03,
P1,2016-09-08,190.0
Pb,2016-09-08,36.0
Pc,2016-09-08,50.0
Pd,2016-09-08,20.0
P2,2016-09-08,26.0
P3,2016-09-08,8.0
P4,2016-09-08,170.0
P5,2016-09-08,8.0
P7,2016-09-08,
P1,2016-10-05,140.0
Pb,2016-10-05,53.0
Pc,2016-10-05,23.0
Pd,2016-10-05,13.0
P2,2016-10-05,40.0
P3,2016-10-05,5.2
P4,2016-10-05,110.0
P5,2016-10-05,2.8
P7,2016-10-05,1.2
P1,2016-11-03,188.0
Pb,2016-11-03,37.0
Pc,2016-11-03,27.0
Pd,2016-11-03,14.0
P2,2016-11-03,33.0
P3,2016-11-03,27.2
P4,2016-11-03,550.0
P5,2016-11-03,7.2
P7,2016-11-03,
P1,2016-12-07,144.0
Pb,2016-12-07,41.0
Pc,2016-12-07,63.0
Pd,2016-12-07,27.0
P2,2016-12-07,10.0
P3,2016-12-07,8.0
P4,2016-12-07,100.0
P5,2016-12-07,2.8
P7,2016-12-07,
P1,2017-01-04,180.0
Pb,2017-01-04,19.0
Pc,2017-01-04,33.0
Pd,2017-01-04,13.0
P2,2017-01-04,58.0
P3,2017-01-04,10.0
P4,2017-01-04,96.0
P5,2017-01-04,3.2
P7,2017-01-04,4.0
P1,2017-02-01,24.0
Pb,2017-02-01,23.0
Pc,2017-02-01,4.0
Pd,2017-02-01,8.0
P2,2017-02-01,10.0
P3,2017-02-01,8.0
P4,2017-02-01,80.0
P5,2017-02-01,8.4
P7,2017-02-01,
P1,2017-03-01,116.0
Pb,2017-03-01,14.0
Pc,2017-03-01,23.0
Pd,2017-03-01,18.0
P2,2017-03-01,18.0
P3,2017-03-01,9.2
P4,2017-03-01,228.0
P5,2017-03-01,5.2
P7,2017-03-01,
P1,2017-04-05,132.0
Pb,2017-04-05,62.0
Pc,2017-04-05,45.0
Pd,2017-04-05,16.0
P2,2017-04-05,30.0
P3,2017-04-05,6.4
P4,2017-04-05,64.0
P5,2017-04-05,7.2
P7,2017-04-05,4.0
P1,2017-05-03,132.0
Pb,2017-05-03,
Pc,2017-05-03,
Pd,2017-05-03,
P2,2017-05-03,67.0
P3,2017-05-03,10.4
P4,2017-05-03,580.0
P5,2017-05-03,7.0
P7,2017-05-03,
P1,2017-06-07,224.0
Pb,2017-06-07,46.0
Pc,2017-06-07,24.0
Pd,2017-06-07,23.0
P2,2017-06-07,11.0
P3,2017-06-07,5.2
P4,2017-06-07,68.0
P5,2017-06-07,3.6
P7,2017-06-07,
P1,2017-07-07,212.0
Pb,2017-07-07,49.0
Pc,2017-07-07,80.0
Pd,2017-07-07,35.0
P2,2017-07-07,59.0
P3,2017-07-07,12.0
P4,2017-07-07,240.0
P5,2017-07-07,5.6
P7,2017-07-07,75.0
P1,2017-08-02,266.0
Pb,2017-08-02,
Pc,2017-08-02,
Pd,2017-08-02,
P2,2017-08-02,96.0
P3,2017-08-02,9.2
P4,2017-08-02,330.0
P5,2017-08-02,29.0
P7,2017-08-02,
P1,2017-09-06,780.0
Pb,2017-09-06,53.0
Pc,2017-09-06,47.0
Pd,2017-09-06,31.5
P2,2017-09-06,46.0
P3,2017-09-06,31.0
P4,2017-09-06,180.0
P5,2017-09-06,21.0
P7,2017-09-06,
P1,2017-10-04,258.0
Pb,2017-10-04,59.0
Pc,2017-10-04,38.0
Pd,2017-10-04,35.0
P2,2017-10-04,43.0
P3,2017-10-04,7.6
