ENTIDADE,DATA,óleos
P1,2016-09-13,52.9
Pb,2016-09-13,19.4
Pc,2016-09-13,10.3
Pd,2016-09-13,16.8
P2,2016-09-13,18.2
P3,2016-09-13,20.0
P4,2016-09-13,23.5
P5,2016-09-13,12.8
P7,2016-09-13,
P1,2016-10-11,59.9
Pb,2016-10-11,17.2
Pc,2016-10-11,20.5
Pd,2016-10-11,10.0
P2,2016-10-11,33.0
P3,2016-10-11,14.4
P4,2016-10-11,23.9
P5,2016-10-11,26.2
P7,2016-10-11,19.4
P1,2016-11-08,37.5
Pb,2016-11-08,22.4
Pc,2016-11-08,11.2
Pd,2016-11-08,13.4
P2,2016-11-08,30.4
P3,2016-11-08,18.7
P4,2016-11-08,31.1
P5,2016-11-08,12.7
P7,2016-11-08,
P1,2016-12-13,11.2
Pb,2016-12-13,19.5
Pc,2016-12-13,15.6
Pd,2016-12-13,21.4
P2,2016-12-13,19.1
P3,2016-12-13,17.2
P4,2016-12-13,15.7
P5,2016-12-13,15.6
P7,2016-12-13,
P1,2016-01-12,106.2
Pb,2016-01-12,10.6
Pc,2016-01-12,10.9
Pd,2016-01-12,12.8
P2,2016-01-12,10.0
P3,2016-01-12,21.2
P4,2016-01-12,10.0
P5,2016-01-12,10.0
P7,2016-01-12,10.0
P1,2016-02-11,12.4
Pb,2016-02-11,10.0
Pc,2016-02-11,10.0
Pd,2016-02-11,10.0
P2,2016-02-11,10.4
P3,2016-02-11,13.7
P4,2016-02-11,10.0
P5,2016-02-11,10.0
P7,2016-02-11,
P1,2016-03-08,20.6
Pb,2016-03-08,10.0
Pc,2016-03-08,10.0
Pd,2016-03-08,10.0
P2,2016-03-08,10.0
P3,2016-03-08,10.6
P4,2016-03-08,21.6
P5,2016-03-08,13.9
P7,2016-03-08,
P1,2016-04-12,28.8
Pb,2016-04-12,10.0
Pc,2016-04-12,10.0
Pd,2016-04-12,10.0
P2,2016-04-12,10.2
P3,2016-04-12,11.5
P4,2016-04-12,12.9
P5,2016-04-12,10.0
P7,2016-04-12,10.0
P1,2016-05-10,73.2
Pb,2016-05-10,
Pc,2016-05-10,
Pd,2016-05-10,
P2,2016-05-10,12.8
P3,2016-05-10,10.0
P4,2016-05-10,25.9
P5,2016-05-10,10.0
P7,2016-05-10,
P1,2016-06-07,31.8
Pb,2016-06-07,10.2
Pc,2016-06-07,10.0
Pd,2016-06-07,10.0
P2,2016-06-07,10.0
P3,2016-06-07,12.6
P4,2016-06-07,77.3
P5,2016-06-07,11.7
P7,2016-06-07,
P1,2016-07-12,17.0
Pb,2016-07-12,10.2
Pc,2016-07-12,10.0
Pd,2016-07-12,10.0
P2,2016-07-12,10.0
P3,2016-07-12,10.0
P4,2016-07-12,10.8
P5,2016-07-12,10.0
P7,2016-07-12,19.7
P1,2016-08-09,10.0
Pb,2016-08-09,10.0
Pc,2016-08-09,10.0
Pd,2016-08-09,10.0
P2,2016-08-09,10.0
P3,2016-08-09,10.0
P4,2016-08-09,10.0
P5,2016-08-09,10.0
P7,2016-08-09,
P1,2016-09-13,52.9
Pb,2016-09-13,19.4
Pc,2016-09-13,10.3
Pd,2016-09-13,16.8
P2,2016-09-13,18.2
P3,2016-09-13,20.0
P4,2016-09-13,23.5
P5,2016-09-13,12.8
P7,2016-09-13,
P1,2016-10-11,59.9
Pb,2016-10-11,17.2
Pc,2016-10-11,20.5
Pd,2016-10-11,10.0
P2,2016-10-11,33.0
P3,2016-10-11,14.4
P4,2016-10-11,23.9
P5,2016-10-11,26.2
P7,2016-10-11,19.4
P1,2016-11-08,37.5
Pb,2016-11-08,22.4
Pc,2016-11-08,11.2
Pd,2016-11-08,13.4
P2,2016-11-08,30.4
P3,2016-11-08,18.7
P4,2016-11-08,31.1
P5,2016-11-08,12.7
P7,2016-11-08,
P1,2016-12-13,11.2
Pb,2016-12-13,19.5
Pc,2016-12-13,15.6
Pd,2016-12-13,21.4
P2,2016-12-13,19.1
P3,2016-12-13,17.2
P4,2016-12-13,15.7
P5,2016-12-13,15.6
P7,2016-12-13,
P1,2017-01-10,11.8
Pb,2017-01-10,32.0
Pc,2017-01-10,29.8
Pd,2017-01-10,26.7
P2,2017-01-10,10.0
P3,2017-01-10,10.2
P4,2017-01-10,10.0
P5,2017-01-10,10.0
P7,2017-01-10,18.6
P1,2017-02-07,16.8
Pb,2017-02-07,10.0
Pc,2017-02-07,10.0
Pd,2017-02-07,19.4
P2,2017-02-07,20.5
P3,2017-02-07,17.8
P4,2017-02-07,19.2
P5,2017-02-07,10.0
P7,2017-02-07,
P1,2017-03-07,10.7
Pb,2017-03-07,
Pc,2017-03-07,
Pd,2017-03-07,
P2,2017-03-07,10.4
P3,2017-03-07,10.0
P4,2017-03-07,14.2
P5,2017-03-07,10.0
P7,2017-03-07,
P1,2017-04-11,35.01
Pb,2017-04-11,10.0
Pc,2017-04-11,10.0
Pd,2017-04-11,11.1
P2,2017-04-11,15.0
P3,2017-04-11,14.8
P4,2017-04-11,165.8
P5,2017-04-11,15.5
P7,2017-04-11,19.1
P1,2017-05-09,37.3
Pb,2017-05-09,
Pc,2017-05-09,
Pd,2017-05-09,
P2,2017-05-09,9.8
P3,2017-05-09,12.0
P4,2017-05-09,272.5
P5,2017-05-09,23.6
P7,2017-05-09,
P1,2017-06-13,21.5
Pb,2017-06-13,22.3
Pc,2017-06-13,16.9
Pd,2017-06-13,20.7
P2,2017-06-13,12.0
P3,2017-06-13,16.1
P4,2017-06-13,20.8
P5,2017-06-13,15.9
P7,2017-06-13,
P1,2017-07-11,28.6
Pb,2017-07-11,22.2
Pc,2017-07-11,26.8
Pd,2017-07-11,17.2
P2,2017-07-11,14.7
P3,2017-07-11,13.3
P4,2017-07-11,145.7
P5,2017-07-11,18.9
P7,2017-07-11,16.8
P1,2017-08-08,38.8
Pb,2017-08-08,
Pc,2017-08-08,
Pd,2017-08-08,
P2,2017-08-08,10.0
P3,2017-08-08,10.0
P4,2017-08-08,49.5
P5,2017-08-08,10.0
P7,2017-08-08,
P1,2017-09-12,32.9
Pb,2017-09-12,10.0
Pc,2017-09-12,26.4
Pd,2017-09-12,25.5
P2,2017-09-12,10.0
P3,2017-09-12,10.0
P4,2017-09-12,59.1
P5,2017-09-12,10.0
P7,2017-09-12,
P1,2017-10-10,18.4
Pb,2017-10-10,18.2
Pc,2017-10-10,16.4
Pd,2017-10-10,13.1
P2,2017-10-10,15.5
P3,2017-10-10,10.0
P4,2017-10-10,10.3
P5,2017-10-10,10.0
P7,2017-10-10,10.0
P1,2017-11-07,22.5
Pb,2017-11-07,12.7
Pc,2017-11-07,12.5
Pd,2017-11-07,12.9
P2,2017-11-07,15.2
P3,2017-11-07,19.4
P4,2017-11-07,28.9
P5,2017-11-07,10.1
P7,2017-11-07,
P1,2017-12-12,10.0
Pb,2017-12-12,
Pc,2017-12-12,
Pd,2017-12-12,
P2,2017-12-12,10.0
P3,2017-12-12,10.0
P4,2017-12-12,19.6
P5,2017-12-12,10.0
P7,2017-12-12,
P1,2017-01-10,11.8
Pb,2017-01-10,32.0
Pc,2017-01-10,29.8
Pd,2017-01-10,26.7
P2,2017-01-10,10.0
P3,2017-01-10,10.2
P4,2017-01-10,10.0
P5,2017-01-10,10.0
P7,2017-01-10,18.6
P1,2017-02-07,16.8
Pb,2017-02-07,10.0
Pc,2017-02-07,10.0
Pd,2017-02-07,19.4
P2,2017-02-07,20.5
P3,2017-02-07,17.8
P4,2017-02-07,19.2
P5,2017-02-07,10.0
P7,2017-02-07,
P1,2017-03-07,10.7
Pb,2017-03-07,
Pc,2017-03-07,
Pd,2017-03-07,
P2,2017-03-07,10.4
P3,2017-03-07,10.0
P4,2017-03-07,14.2
P5,2017-03-07,10.0
P7,2017-03-07,
P1,2017-04-11,35.01
Pb,2017-04-11,10.0
Pc,2017-04-11,10.0
Pd,2017-04-11,11.1
P2,2017-04-11,15.0
P3,2017-04-11,14.8
P4,2017-04-11,165.8
P5,2017-04-11,15.5
P7,2017-04-11,19.1
P1,2017-05-09,37.3
Pb,2017-05-09,
Pc,2017-05-09,
Pd,2017-05-09,
P2,2017-05-09,9.8
P3,2017-05-09,12.0
P4,2017-05-09,272.5
P5,2017-05-09,23.6
P7,2017-05-09,
P1,2017-06-13,21.5
Pb,2017-06-13,22.3
Pc,2017-06-13,16.9
Pd,2017-06-13,20.7
P2,2017-06-13,12.0
P3,2017-06-13,16.1
P4,2017-06-13,20.8
P5,2017-06-13,15.9
P7,2017-06-13,
P1,2017-07-11,28.6
Pb,2017-07-11,22.2
Pc,2017-07-11,26.8
Pd,2017-07-11,17.2
P2,2017-07-11,14.7
P3,2017-07-11,13.3
P4,2017-07-11,145.7
P5,2017-07-11,18.9
P7,2017-07-11,16.8
P1,2017-08-08,38.8
Pb,2017-08-08,
Pc,2017-08-08,
Pd,2017-08-08,
P2,2017-08-08,10.0
P3,2017-08-08,10.0
P4,2017-08-08,49.5
P5,2017-08-08,10.0
P7,2017-08-08,
P1,2017-09-12,32.9
Pb,2017-09-12,10.0
Pc,2017-09-12,26.4
Pd,2017-09-12,25.5
P2,2017-09-12,10.0
P3,2017-09-12,10.0
P4,2017-09-12,59.1
P5,2017-09-12,10.0
P7,2017-09-12,
P1,2017-10-10,18.4
Pb,2017-10-10,18.2
Pc,2017-10-10,16.4
Pd,2017-10-10,13.1
P2,2017-10-10,15.5
P3,2017-10-10,10.0
P4,2017-10-10,10.3
P5,2017-10-10,10.0
P7,2017-10-10,10.0
P1,2017-11-07,22.5
Pb,2017-11-07,12.7
Pc,2017-11-07,12.5
Pd,2017-11-07,12.9
P2,2017-11-07,15.2
P3,2017-11-07,19.4
P4,2017-11-07,28.9
P5,2017-11-07,10.1
P7,2017-11-07,
P1,2017-12-12,10.0
Pb,2017-12-12,
Pc,2017-12-12,
Pd,2017-12-12,
P2,2017-12-12,10.0
P3,2017-12-12,10.0
P4,2017-12-12,19.6
P5,2017-12-12,10.0
P7,2017-12-12,
P1,2018-01-30,16.0
Pb,2018-01-30,13.9
Pc,2018-01-30,12.3
Pd,2018-01-30,15.6
P2,2018-01-30,17.1
P3,2018-01-30,22.3
P4,2018-01-30,19.3
P5,2018-01-30,14.4
P7,2018-01-30,
P1,2018-02-15,10.0
