ENTIDADE,DATA,coliformes
P1,2018-06-14,2400000.0
P2,2018-06-14,78.0
P3,2018-06-14,9200000.0
P4,2018-06-14,1300.0
P5,2018-06-14,240000.0
P1,2018-07-12,130000.0
P2,2018-07-12,70000.0
P3,2018-07-12,68.0
P4,2018-07-12,790000.0
P5,2018-07-12,490.0
P1,2018-08-09,170000.0
P2,2018-08-09,460.0
P3,2018-08-09,45.0
P4,2018-08-09,490000.0
P5,2018-08-09,330.0
P1,2018-09-13,16000000.0
P2,2018-09-13,9200.0
P3,2018-09-13,110.0
P4,2018-09-13,490000.0
P5,2018-09-13,20.0
P1,2018-10-11,780000.0
P2,2018-10-11,9200.0
P3,2018-10-11,1.8
P4,2018-10-11,490000.0
P5,2018-10-11,20.0
P1,2018-11-08,1100000.0
P2,2018-11-08,3500.0
P3,2018-11-08,20.0
P4,2018-11-08,330000.0
P5,2018-11-08,130.0
P1,2018-12-13,1600000.0
P2,2018-12-13,33000.0
P3,2018-12-13,490.0
P4,2018-12-13,490000.0
P5,2018-12-13,1.8
P1,2018-01-11,230000.0
P2,2018-01-11,54000.0
P3,2018-01-11,11000.0
P4,2018-01-11,920000.0
P5,2018-01-11,220.00000000000003
P1,2018-02-08,330000.0
P2,2018-02-08,490.00000000000006
P3,2018-02-08,45.0
P4,2018-02-08,1600000.0
P5,2018-02-08,2000.0
P1,2018-03-08,220000.0
P2,2018-03-08,240000.0
P3,2018-03-08,140000.0
P4,2018-03-08,170000.0
P5,2018-03-08,390.0
P1,2018-04-19,540000.0
P2,2018-04-19,350000.0
P3,2018-04-19,330.0
P4,2018-04-19,9200000.0
P5,2018-04-19,270.0
P1,2018-05-11,490000.0
P2,2018-05-11,110000.0
P3,2018-05-11,490.0
P4,2018-05-11,230000.0
P5,2018-05-11,490.0
P1,2018-06-14,2400000.0
P2,2018-06-14,78.0
P3,2018-06-14,9200000.0
P4,2018-06-14,1300.0
P5,2018-06-14,240000.0
P1,2018-07-12,130000.0
P2,2018-07-12,70000.0
P3,2018-07-12,68.0
P4,2018-07-12,790000.0
P5,2018-07-12,490.0
P1,2018-08-09,170000.0
P2,2018-08-09,460.0
P3,2018-08-09,45.0
P4,2018-08-09,490000.0
P5,2018-08-09,330.0
P1,2018-09-13,16000000.0
P2,2018-09-13,9200.0
P3,2018-09-13,110.0
P4,2018-09-13,490000.0
P5,2018-09-13,20.0
P1,2018-10-11,780000.0
P2,2018-10-11,9200.0
P3,2018-10-11,1.8
P4,2018-10-11,490000.0
P5,2018-10-11,20.0
P1,2018-11-08,1100000.0
P2,2018-11-08,3500.0
P3,2018-11-08,20.0
P4,2018-11-08,330000.0
P5,2018-11-08,130.0
P1,2018-12-13,1600000.0
P2,2018-12-13,33000.0
P3,2018-12-13,490.0
P4,2018-12-13,490000.0
P5,2018-12-13,1.8
P1,2019-01-10,240000.0
P2,2019-01-10,16000.0
P3,2019-01-10,16000.0
P4,2019-01-10,2300000.0
P5,2019-01-10,2400.0
P1,2019-02-07,1600000.0
P2,2019-02-07,350000.0
P3,2019-02-07,7090.0
P4,2019-02-07,50400000.0
P5,2019-02-07,210.0
P1,2019-03-07,240000.0
P2,2019-03-07,540000.0
P3,2019-03-07,200.0
P4,2019-03-07,540000.0
P5,2019-03-07,330.0
P1,2019-04-11,13000.0
P2,2019-04-11,23000.0
P3,2019-04-11,450.0
P4,2019-04-11,350000.0
P5,2019-04-11,170.0
P1,2019-05-09,350000.0
P2,2019-05-09,23000.0
P3,2019-05-09,110.0
P4,2019-05-09,9200000.0
P5,2019-05-09,490.0
P1,2019-06-13,280000.0
P2,2019-06-13,240000.0
P3,2019-06-13,68.0
P4,2019-06-13,35.0
P5,2019-06-13,34.0
P1,2019-07-11,280000.0
P2,2019-07-11,240000.0
P3,2019-07-11,19.0
P4,2019-07-11,35000000.0
P5,2019-07-11,340.0
P1,2019-08-08,3500000.0
P2,2019-08-08,540000.0
P3,2019-08-08,93.0
P4,2019-08-08,78000.0
P5,2019-08-08,1300.0
P1,2019-09-12,170000.0
P2,2019-09-12,46000.0
P3,2019-09-12,110.0
P4,2019-09-12,35000000.0
P5,2019-09-12,9200.0
P1,2019-10-10,40000.0
P2,2019-10-10,350000.0
P3,2019-10-10,33.0
P4,2019-10-10,3500000.0
P5,2019-10-10,210.0
P1,2019-11-07,280000.0
P2,2019-11-07,3500.0
P3,2019-11-07,490.0
P4,2019-11-07,490000.0
P5,2019-11-07,490.0
P1,2019-12-12,280000.0
P2,2019-12-12,3500.0
P3,2019-12-12,490.0
P4,2019-12-12,490000.0
P5,2019-12-12,490.0
